Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,5120.000000,5270.000000,5120.000000,5210.000000,5210.000000,609558
2018-01-08,5210.000000,5590.000000,5130.000000,5330.000000,5330.000000,1641993
2018-01-15,5390.000000,5460.000000,5270.000000,5330.000000,5330.000000,1079284
2018-01-22,5400.000000,6070.000000,5380.000000,5980.000000,5980.000000,3332912
2018-01-29,6000.000000,6160.000000,5640.000000,5920.000000,5920.000000,1740149
2018-02-05,5860.000000,5900.000000,5430.000000,5870.000000,5870.000000,1560128
2018-02-12,5930.000000,5940.000000,5580.000000,5650.000000,5650.000000,827938
2018-02-19,5700.000000,5780.000000,5540.000000,5570.000000,5570.000000,679710
2018-02-26,5580.000000,5620.000000,5180.000000,5230.000000,5230.000000,797208
2018-03-05,5200.000000,5270.000000,5010.000000,5190.000000,5190.000000,1028934
2018-03-12,5200.000000,5220.000000,5020.000000,5050.000000,5050.000000,831884
2018-03-19,5030.000000,5160.000000,4910.000000,5010.000000,5010.000000,906867
2018-03-26,5010.000000,5070.000000,4910.000000,4965.000000,4965.000000,717321
2018-04-02,4950.000000,5040.000000,4885.000000,4955.000000,4955.000000,690768
2018-04-09,4960.000000,4995.000000,4900.000000,4940.000000,4940.000000,516346
2018-04-16,4940.000000,5130.000000,4890.000000,5080.000000,5080.000000,1011848
2018-04-23,5050.000000,5080.000000,4930.000000,4940.000000,4940.000000,918898
2018-04-30,4970.000000,5150.000000,4930.000000,4960.000000,4960.000000,856366
2018-05-07,4960.000000,5040.000000,4885.000000,4960.000000,4960.000000,678664
2018-05-14,4980.000000,4990.000000,4870.000000,4890.000000,4890.000000,784031
2018-05-21,4895.000000,4900.000000,4650.000000,4720.000000,4720.000000,792918
2018-05-28,4720.000000,4845.000000,4500.000000,4835.000000,4835.000000,1245028
2018-06-04,4835.000000,4965.000000,4805.000000,4920.000000,4920.000000,593298
2018-06-11,4920.000000,5000.000000,4815.000000,4955.000000,4955.000000,635599
2018-06-18,4955.000000,4970.000000,4545.000000,4570.000000,4570.000000,552309
2018-06-25,4575.000000,4675.000000,4550.000000,4570.000000,4570.000000,428090
2018-07-02,4620.000000,4665.000000,4380.000000,4600.000000,4600.000000,552057
2018-07-09,4600.000000,5680.000000,4530.000000,4565.000000,4565.000000,5734152
2018-07-16,4510.000000,4655.000000,4415.000000,4415.000000,4415.000000,986977
2018-07-23,4410.000000,4680.000000,4410.000000,4650.000000,4650.000000,643550
2018-07-30,4675.000000,4795.000000,4570.000000,4760.000000,4760.000000,748388
2018-08-06,4760.000000,4855.000000,4710.000000,4830.000000,4830.000000,449711
2018-08-13,4805.000000,4845.000000,4650.000000,4750.000000,4750.000000,301042
2018-08-20,4795.000000,4820.000000,4635.000000,4700.000000,4700.000000,365179
2018-08-27,4725.000000,4725.000000,4500.000000,4520.000000,4520.000000,645176
2018-09-03,4505.000000,4630.000000,4500.000000,4620.000000,4620.000000,493918
2018-09-10,4570.000000,4700.000000,4480.000000,4655.000000,4655.000000,672070
2018-09-17,4735.000000,4735.000000,4490.000000,4530.000000,4530.000000,576054
2018-09-24,4530.000000,4625.000000,4495.000000,4565.000000,4565.000000,227665
2018-10-01,4555.000000,4585.000000,4315.000000,4350.000000,4350.000000,501474
2018-10-08,4310.000000,4350.000000,4050.000000,4085.000000,4085.000000,640596
2018-10-15,4090.000000,4150.000000,4015.000000,4060.000000,4060.000000,395552
2018-10-22,4065.000000,4125.000000,3850.000000,3910.000000,3910.000000,638522
2018-10-29,3870.000000,4000.000000,3665.000000,3795.000000,3795.000000,642021
2018-11-05,3800.000000,3910.000000,3715.000000,3780.000000,3780.000000,495239
2018-11-12,3780.000000,3860.000000,3510.000000,3855.000000,3855.000000,674640
2018-11-19,3785.000000,3950.000000,3760.000000,3770.000000,3770.000000,303041
2018-11-26,3750.000000,4015.000000,3730.000000,3940.000000,3940.000000,406744
2018-12-03,3950.000000,4015.000000,3850.000000,3890.000000,3890.000000,359037
2018-12-10,3780.000000,4135.000000,3780.000000,4115.000000,4115.000000,484151
2018-12-17,4150.000000,4215.000000,3940.000000,3940.000000,3940.000000,527105
2018-12-24,3965.000000,4040.000000,3810.000000,3960.000000,3960.000000,393399
2018-12-31,3960.000000,3960.000000,3960.000000,3960.000000,3960.000000,0
